id,section,word,meaning,example,exampleJa,category,note
146,1,in a sense,ある意味で,The expression “in a sense” is useful for reading this level of academic argument.,「in a sense（ある意味で）」はこの難易度帯の学術的議論を読むうえで有用である。,Basic chunks,読解時に一つの意味単位として認識する。
147,1,in one way,ある仕方では,The expression “in one way” is useful for reading this level of academic argument.,「in one way（ある仕方では）」はこの難易度帯の学術的議論を読むうえで有用である。,Basic chunks,読解時に一つの意味単位として認識する。
148,1,in another way,別の仕方では,The expression “in another way” is useful for reading this level of academic argument.,「in another way（別の仕方では）」はこの難易度帯の学術的議論を読むうえで有用である。,Basic chunks,読解時に一つの意味単位として認識する。
149,1,on this point,この点について,The expression “on this point” is useful for reading this level of academic argument.,「on this point（この点について）」はこの難易度帯の学術的議論を読むうえで有用である。,Basic chunks,読解時に一つの意味単位として認識する。
150,1,on this issue,この問題について,The expression “on this issue” is common in academic prose.,「on this issue（この問題について）」は学術英文でよく使われる。,Basic chunks,一つの意味単位として読む。
151,2,X accounts for Y,XはYを説明する,The frame “X accounts for Y” is common in expository and academic prose.,「X accounts for Y（XはYを説明する）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
152,2,X agrees with Y,XはYと一致する／同意する,The frame “X agrees with Y” is common in expository and academic prose.,「X agrees with Y（XはYと一致する／同意する）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
153,2,X aims at Y,XはYを目指す,The frame “X aims at Y” is common in expository and academic prose.,「X aims at Y（XはYを目指す）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
154,2,X aims to Y,XはYすることを目指す,The frame “X aims to Y” is common in expository and academic prose.,「X aims to Y（XはYすることを目指す）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
155,2,X applies to Y,XはYに当てはまる,The frame “X applies to Y” is common in expository and academic prose.,「X applies to Y（XはYに当てはまる）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
156,2,X arises from Y,XはYから生じる,The frame “X arises from Y” is common in expository and academic prose.,「X arises from Y（XはYから生じる）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
157,2,X belongs to Y,XはYに属する,The frame “X belongs to Y” is common in expository and academic prose.,「X belongs to Y（XはYに属する）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
158,2,X brings about Y,XはYを引き起こす,The frame “X brings about Y” is common in expository and academic prose.,「X brings about Y（XはYを引き起こす）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
159,2,X brings out Y,XはYを明らかにする,The frame “X brings out Y” is common in expository and academic prose.,「X brings out Y（XはYを明らかにする）」は説明文・学術文でよく使われる。,Verb chunks,動詞＋前置詞・補語を一つの単位として読む。
